iter	Passed	Remaining
536	49422	191064
537	49540	191071
538	49647	191035
539	49664	190654
540	49770	190618
541	49877	190582
542	49984	190546
543	50087	190497
544	50196	190469
545	50303	190435
546	50407	190388
547	50517	190361
548	50623	190323
549	50734	190301
550	50836	190244
551	50946	190216
552	51049	190165
553	51153	190116
554	51267	190105
555	51369	190047
556	51483	190035
557	51587	189987
558	51696	189953
559	51709	189570
560	51812	189515
561	51925	189500
562	51952	189168
563	52059	189129
564	52166	189090
565	52271	189046
566	52375	188994
567	52485	188965
568	52594	188934
569	52704	188903
570	52808	188851
571	52822	188478
572	52928	188437
573	53036	188398
574	53142	188356
575	53252	188325
576	53306	188095
577	53415	188063
578	53517	188003
579	53628	187976
580	53733	187930
581	53845	187904
582	53953	187865
583	54058	187817
584	54168	187782
585	54270	187723
586	54383	187701
587	54490	187657
588	54597	187615
589	54704	187572
590	54813	187536
591	54920	187489
592	55023	187433
593	55129	187384
594	55234	187332
595	55337	187273
596	55445	187232
597	55547	187171
598	55606	186962
599	55709	186905
600	55814	186854
601	55921	186807
602	56026	186755
603	56132	186705
604	56234	186642
605	56340	186592
606	56445	186539
607	56549	186484
608	56659	186445
609	56763	186387
610	56870	186341
611	56976	186290
612	56977	185898
613	57085	185852
614	57188	185791
615	57294	185742
616	57400	185689
617	57509	185649
618	57615	185596
619	57719	185540
620	57827	185495
621	57932	185439
622	58039	185392
623	58146	185340
624	58253	185291
625	58361	185246
626	58467	185192
627	58476	184832
628	58581	184777
629	58608	184476
630	58711	184413
631	58816	184361
632	58920	184300
633	59024	184241
634	59029	183876
635	59135	183823
636	59242	183771
637	59348	183720
638	59454	183668
639	59563	183624
640	59667	183564
641	59774	183512
642	59875	183443
643	59983	183396
644	60089	183343
645	60195	183289
646	60302	183237
647	60406	183177
648	60513	183124
649	60617	183064
650	60723	183009
651	60828	182950
652	60933	182893
653	61038	182835
654	61141	182772
655	61246	182713
656	61351	182655
657	61458	182601
658	61563	182541
659	61673	182496
660	61687	182169
661	61792	182110
662	61899	182058
663	62003	181996
664	62112	181946
665	62220	181897
666	62325	181836
667	62431	181779
668	62533	181711
669	62640	181657
670	62654	181333
671	62759	181274
672	62865	181216
673	62969	181154
674	62998	180875
675	63103	180816
676	63207	180751
677	63319	180712
678	63321	180358
679	63427	180303
680	63534	180246
681	63562	179970
682	63670	179917
683	63673	179569
684	63781	179518
685	63886	179459
686	63996	179413
687	64106	179368
688	64213	179312
689	64318	179253
690	64320	178904
691	64427	178852
692	64534	178798
693	64590	178600
694	64694	178536
695	64798	178475
696	64904	178418
697	65010	178360
698	65120	178313
699	65227	178256
700	65333	178200
701	65361	177928
702	65468	177872
703	65575	177818
704	65627	177613
705	65737	177564
